Indicator,S.No.,Parameters,Type,SubDistrict - _Anugul - Total [(A+B) or (C+D)],SubDistrict - _Anugul - Public [A],SubDistrict - _Anugul - Private [B],SubDistrict - _Anugul - Urban [C],SubDistrict - _Anugul - Rural [D],SubDistrict - Angul - Total [(A+B) or (C+D)],SubDistrict - Angul - Public [A],SubDistrict - Angul - Private [B],SubDistrict - Angul - Urban [C],SubDistrict - Angul - Rural [D],SubDistrict - Athamallik - Total [(A+B) or (C+D)],SubDistrict - Athamallik - Public [A],SubDistrict - Athamallik - Private [B],SubDistrict - Athamallik - Urban [C],SubDistrict - Athamallik - Rural [D],SubDistrict - Banarapal - Total [(A+B) or (C+D)],SubDistrict - Banarapal - Public [A],SubDistrict - Banarapal - Private [B],SubDistrict - Banarapal - Urban [C],SubDistrict - Banarapal - Rural [D],SubDistrict - Chhendipada - Total [(A+B) or (C+D)],SubDistrict - Chhendipada - Public [A],SubDistrict - Chhendipada - Private [B],SubDistrict - Chhendipada - Urban [C],SubDistrict - Chhendipada - Rural [D],SubDistrict - Dist Level Facility - Total [(A+B) or (C+D)],SubDistrict - Dist Level Facility - Public [A],SubDistrict - Dist Level Facility - Private [B],SubDistrict - Dist Level Facility - Urban [C],SubDistrict - Dist Level Facility - Rural [D],SubDistrict - Kaniha - Total [(A+B) or (C+D)],SubDistrict - Kaniha - Public [A],SubDistrict - Kaniha - Private [B],SubDistrict - Kaniha - Urban [C],SubDistrict - Kaniha - Rural [D],SubDistrict - Pallahara - Total [(A+B) or (C+D)],SubDistrict - Pallahara - Public [A],SubDistrict - Pallahara - Private [B],SubDistrict - Pallahara - Urban [C],SubDistrict - Pallahara - Rural [D],SubDistrict - Rajkishore Nagar - Total [(A+B) or (C+D)],SubDistrict - Rajkishore Nagar - Public [A],SubDistrict - Rajkishore Nagar - Private [B],SubDistrict - Rajkishore Nagar - Urban [C],SubDistrict - Rajkishore Nagar - Rural [D],SubDistrict - Talcher - Total [(A+B) or (C+D)],SubDistrict - Talcher - Public [A],SubDistrict - Talcher - Private [B],SubDistrict - Talcher - Urban [C],SubDistrict - Talcher - Rural [D]
M1 [Ante Natal Care (ANC)],1.1,Total number of pregnant women registered for ANC,TOTAL,10570,10570,NA,NA,10570,1554,1554,NA,NA,1554,1091,1091,NA,NA,1091,1553,1553,NA,NA,1553,1317,1317,NA,NA,1317,798,798,NA,NA,798,1146,1146,NA,NA,1146,1173,1173,NA,NA,1173,929,929,NA,NA,929,1009,1009,NA,NA,1009
M1 [Ante Natal Care (ANC)],1.1.1,"Out of the total ANC registered, number registered within 1st trimester (within 12 weeks)",TOTAL,8780,8780,NA,NA,8780,1373,1373,NA,NA,1373,967,967,NA,NA,967,1438,1438,NA,NA,1438,1168,1168,NA,NA,1168,226,226,NA,NA,226,1005,1005,NA,NA,1005,987,987,NA,NA,987,772,772,NA,NA,772,844,844,NA,NA,844
M1 [Ante Natal Care (ANC)],1.2.1,Number of PW given TT1,TOTAL,9822,9822,NA,NA,9822,1417,1417,NA,NA,1417,962,962,NA,NA,962,1545,1545,NA,NA,1545,1239,1239,NA,NA,1239,734,734,NA,NA,734,1109,1109,NA,NA,1109,1039,1039,NA,NA,1039,797,797,NA,NA,797,980,980,NA,NA,980
M1 [Ante Natal Care (ANC)],1.2.2,Number of PW given TT2,TOTAL,9559,9559,NA,NA,9559,1337,1337,NA,NA,1337,899,899,NA,NA,899,1555,1555,NA,NA,1555,1154,1154,NA,NA,1154,827,827,NA,NA,827,1103,1103,NA,NA,1103,968,968,NA,NA,968,742,742,NA,NA,742,974,974,NA,NA,974
M1 [Ante Natal Care (ANC)],1.2.3,Number of PW given TT Booster,TOTAL,595,595,NA,NA,595,132,132,NA,NA,132,101,101,NA,NA,101,3,3,NA,NA,3,51,51,NA,NA,51,47,47,NA,NA,47,36,36,NA,NA,36,106,106,NA,NA,106,106,106,NA,NA,106,13,13,NA,NA,13
M1 [Ante Natal Care (ANC)],1.2.4,Number of PW given 180 Iron Folic Acid (IFA) tablets,TOTAL,7841,7841,NA,NA,7841,1175,1175,NA,NA,1175,775,775,NA,NA,775,1021,1021,NA,NA,1021,1023,1023,NA,NA,1023,559,559,NA,NA,559,939,939,NA,NA,939,888,888,NA,NA,888,566,566,NA,NA,566,895,895,NA,NA,895
M1 [Ante Natal Care (ANC)],1.2.5,Number of PW given 360 Calcium tablets,TOTAL,3396,3396,NA,NA,3396,738,738,NA,NA,738,216,216,NA,NA,216,291,291,NA,NA,291,NA,NA,NA,NA,NA,407,407,NA,NA,407,234,234,NA,NA,234,595,595,NA,NA,595,447,447,NA,NA,447,468,468,NA,NA,468
M1 [Ante Natal Care (ANC)],1.2.6,Number of PW given one Albendazole tablet after 1st trimester,TOTAL,6739,6739,NA,NA,6739,1123,1123,NA,NA,1123,972,972,NA,NA,972,1148,1148,NA,NA,1148,186,186,NA,NA,186,216,216,NA,NA,216,694,694,NA,NA,694,779,779,NA,NA,779,731,731,NA,NA,731,890,890,NA,NA,890
M1 [Ante Natal Care (ANC)],1.2.7,Number of PW received 4 or more ANC check ups,TOTAL,7926,7926,NA,NA,7926,1144,1144,NA,NA,1144,790,790,NA,NA,790,1202,1202,NA,NA,1202,1071,1071,NA,NA,1071,535,535,NA,NA,535,928,928,NA,NA,928,892,892,NA,NA,892,469,469,NA,NA,469,895,895,NA,NA,895
M1 [Ante Natal Care (ANC)],1.2.8,Number of PW given ANC Corticosteroids in Pre Term Labour,TOTAL,5,5,NA,NA,5,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,5,5,NA,NA,5,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M1 [Ante Natal Care (ANC)],1.3.1,New cases of PW with hypertension detected,TOTAL,94,94,NA,NA,94,13,13,NA,NA,13,5,5,NA,NA,5,26,26,NA,NA,26,NA,NA,NA,NA,NA,32,32,NA,NA,32,0,0,NA,NA,0,1,1,NA,NA,1,14,14,NA,NA,14,3,3,NA,NA,3
M1 [Ante Natal Care (ANC)],1.3.1.a,"Out of the new cases of PW with hypertension detected, cases managed at institution",TOTAL,66,66,NA,NA,66,1,1,NA,NA,1,1,1,NA,NA,1,21,21,NA,NA,21,NA,NA,NA,NA,NA,32,32,NA,NA,32,0,0,NA,NA,0,1,1,NA,NA,1,8,8,NA,NA,8,2,2,NA,NA,2
M1 [Ante Natal Care (ANC)],1.3.2,Number of Eclampsia cases managed during delivery,TOTAL,12,12,NA,NA,12,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10,NA,NA,10,NA,NA,NA,NA,NA,2,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M1 [Ante Natal Care (ANC)],1.4.1,Number of PW tested for Haemoglobin (Hb ) 4 or more than 4 times for respective ANCs,TOTAL,7709,7709,NA,NA,7709,1085,1085,NA,NA,1085,777,777,NA,NA,777,1189,1189,NA,NA,1189,1056,1056,NA,NA,1056,475,475,NA,NA,475,878,878,NA,NA,878,890,890,NA,NA,890,464,464,NA,NA,464,895,895,NA,NA,895
M1 [Ante Natal Care (ANC)],1.4.2,Number of PW having Hb level<11 (tested cases)(7.1 to 10.9),TOTAL,4692,4692,NA,NA,4692,476,476,NA,NA,476,699,699,NA,NA,699,644,644,NA,NA,644,412,412,NA,NA,412,534,534,NA,NA,534,268,268,NA,NA,268,820,820,NA,NA,820,376,376,NA,NA,376,463,463,NA,NA,463
M1 [Ante Natal Care (ANC)],1.4.3,Number of PW having Hb level<7 (tested cases),TOTAL,18,18,NA,NA,18,0,0,NA,NA,0,8,8,NA,NA,8,3,3,NA,NA,3,1,1,NA,NA,1,3,3,NA,NA,3,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,3
M1 [Ante Natal Care (ANC)],1.4.4,Number of PW having severe anaemia (Hb<7) treated,TOTAL,3,3,NA,NA,3,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M1 [Ante Natal Care (ANC)],1.5.1,Number of PW tested for blood sugar using OGTT (Oral Glucose Tolerance Test),TOTAL,430,430,NA,NA,430,0,0,NA,NA,0,4,4,NA,NA,4,NA,NA,NA,NA,NA,62,62,NA,NA,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,364,364,NA,NA,364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M1 [Ante Natal Care (ANC)],1.5.2,Number of PW tested positive for GDM,TOTAL,0,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M1 [Ante Natal Care (ANC)],1.5.3,Number of PW given insulin out of total tested positive for GDM,TOTAL,0,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M1 [Ante Natal Care (ANC)],1.6.1.a,Number of PW tested using POC test for Syphilis,TOTAL,0,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M1 [Ante Natal Care (ANC)],1.6.1.b,"Out of above, number of PW found sero positive for syphilis",TOTAL,0,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M1 [Ante Natal Care (ANC)],1.6.2.a,Number of pregnant women tested for Syphilis,TOTAL,3364,3364,NA,NA,3364,237,237,NA,NA,237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,359,359,NA,NA,359,2735,2735,NA,NA,2735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,33,NA,NA,33,NA,NA,NA,NA,NA
M1 [Ante Natal Care (ANC)],1.6.2.b,Number of pregnant women tested found sero positive for Syphilis,TOTAL,0,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M1 [Ante Natal Care (ANC)],1.6.2.c,Number of syphilis positive pregnant women treated for Syphilis,TOTAL,0,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M1 [Ante Natal Care (ANC)],1.6.2.d,Number of babies diagnosed with Congenital Syphilis,TOTAL,0,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M1 [Ante Natal Care (ANC)],1.6.2.e,Number of babies treated for congenital Syphilis,TOTAL,0,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M2 [Deliveries],2.1.1.a,Number of Home Deliveries attended by Skill Birth Attendant(SBA) (Doctor/Nurse/ANM),TOTAL,125,125,NA,NA,125,0,0,NA,NA,0,NA,NA,NA,NA,NA,3,3,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,28,NA,NA,28,93,93,NA,NA,93,NA,NA,NA,NA,NA,1,1,NA,NA,1
M2 [Deliveries],2.1.1.b,Number of Home Deliveries attended by Non SBA (Trained Birth Attendant(TBA) /Relatives/etc.),TOTAL,136,136,NA,NA,136,13,13,NA,NA,13,31,31,NA,NA,31,14,14,NA,NA,14,7,7,NA,NA,7,NA,NA,NA,NA,NA,16,16,NA,NA,16,33,33,NA,NA,33,19,19,NA,NA,19,3,3,NA,NA,3
M2 [Deliveries],2.1.2,Number of PW given Tablet Misoprostol during home delivery,TOTAL,12,12,NA,NA,12,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,12,12,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M2 [Deliveries],2.1.3,Number of newborns received 7 Home Based Newborn Care (HBNC) visits in case of Home delivery,TOTAL,153,153,NA,NA,153,7,7,NA,NA,7,9,9,NA,NA,9,6,6,NA,NA,6,3,3,NA,NA,3,NA,NA,NA,NA,NA,30,30,NA,NA,30,93,93,NA,NA,93,3,3,NA,NA,3,2,2,NA,NA,2
M2 [Deliveries],2.2,Number of Institutional Deliveries conducted (Including C-Sections),TOTAL,9120,7093,2027,NA,9120,467,467,NA,NA,467,169,169,NA,NA,169,85,85,NA,NA,85,563,563,NA,NA,563,6301,4274,2027,NA,6301,521,521,NA,NA,521,376,376,NA,NA,376,534,534,NA,NA,534,104,104,NA,NA,104
M2 [Deliveries],2.2.1,Out of total institutional deliveries number of women discharged within 48 hours of delivery,TOTAL,6409,5429,980,NA,6409,407,407,NA,NA,407,137,137,NA,NA,137,85,85,NA,NA,85,435,435,NA,NA,435,4529,3549,980,NA,4529,148,148,NA,NA,148,174,174,NA,NA,174,390,390,NA,NA,390,104,104,NA,NA,104
M2 [Deliveries],2.2.2,Number of newborns received 6 HBNC  visits after Institutional Delivery,TOTAL,6242,6242,NA,NA,6242,477,477,NA,NA,477,887,887,NA,NA,887,612,612,NA,NA,612,1094,1094,NA,NA,1094,134,134,NA,NA,134,882,882,NA,NA,882,782,782,NA,NA,782,620,620,NA,NA,620,754,754,NA,NA,754
M3 [Number of Caesarean (C-Section) deliveries],3.1,Total C -Section deliveries performed,TOTAL,1542,688,854,NA,1542,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1542,688,854,NA,1542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M3 [Number of Caesarean (C-Section) deliveries],3.1.1,"C-sections, performed at night (8 PM- 8 AM)",TOTAL,216,216,NA,NA,216,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,216,216,NA,NA,216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M4 [Pregnancy outcome & details of new-born],4.1.1.a,Live Birth - Male,TOTAL,4886,3848,1038,NA,4886,251,251,NA,NA,251,99,99,NA,NA,99,52,52,NA,NA,52,287,287,NA,NA,287,3273,2235,1038,NA,3273,292,292,NA,NA,292,291,291,NA,NA,291,284,284,NA,NA,284,57,57,NA,NA,57
M4 [Pregnancy outcome & details of new-born],4.1.1.b,Live Birth - Female,TOTAL,4407,3415,992,NA,4407,226,226,NA,NA,226,100,100,NA,NA,100,49,49,NA,NA,49,283,283,NA,NA,283,2966,1974,992,NA,2966,272,272,NA,NA,272,202,202,NA,NA,202,260,260,NA,NA,260,49,49,NA,NA,49
M4 [Pregnancy outcome & details of new-born],4.1.2,Number of Pre term newborns ( < 37 weeks of pregnancy),TOTAL,149,149,NA,NA,149,7,7,NA,NA,7,4,4,NA,NA,4,1,1,NA,NA,1,29,29,NA,NA,29,80,80,NA,NA,80,0,0,NA,NA,0,10,10,NA,NA,10,18,18,NA,NA,18,NA,NA,NA,NA,NA
M4 [Pregnancy outcome & details of new-born],4.1.3,Still Birth,TOTAL,126,124,2,NA,126,3,3,NA,NA,3,2,2,NA,NA,2,1,1,NA,NA,1,3,3,NA,NA,3,91,89,2,NA,91,5,5,NA,NA,5,9,9,NA,NA,9,10,10,NA,NA,10,2,2,NA,NA,2
M4 [Pregnancy outcome & details of new-born],4.2,Abortion (spontaneous),TOTAL,660,660,NA,NA,660,71,71,NA,NA,71,32,32,NA,NA,32,22,22,NA,NA,22,199,199,NA,NA,199,199,199,NA,NA,199,37,37,NA,NA,37,17,17,NA,NA,17,58,58,NA,NA,58,25,25,NA,NA,25
M4 [Pregnancy outcome & details of new-born],4.3.1.a,MTP up to 12 weeks of pregnancy,TOTAL,219,180,39,NA,219,2,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,NA,NA,12,137,98,39,NA,137,14,14,NA,NA,14,28,28,NA,NA,28,26,26,NA,NA,26,NA,NA,NA,NA,NA
M4 [Pregnancy outcome & details of new-born],4.3.1.b,MTP more than 12 weeks of pregnancy,TOTAL,3,3,NA,NA,3,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,2,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M4 [Pregnancy outcome & details of new-born],4.3.2.a,Post Abortion/ MTP Complications Identified,TOTAL,27,27,NA,NA,27,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,22,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M4 [Pregnancy outcome & details of new-born],4.3.2.b,Post Abortion/ MTP Complications Treated,TOTAL,5,5,NA,NA,5,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M4 [Pregnancy outcome & details of new-born],4.3.3,Number of women provided with post abortion/ MTP contraception,TOTAL,98,98,NA,NA,98,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,22,NA,NA,22,42,42,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,34,NA,NA,34,NA,NA,NA,NA,NA
M4 [Pregnancy outcome & details of new-born],4.4.1,Number of newborns weighed at birth,TOTAL,9279,7249,2030,NA,9279,477,477,NA,NA,477,198,198,NA,NA,198,99,99,NA,NA,99,560,560,NA,NA,560,6238,4208,2030,NA,6238,564,564,NA,NA,564,493,493,NA,NA,493,544,544,NA,NA,544,106,106,NA,NA,106
M4 [Pregnancy outcome & details of new-born],4.4.2,Number of newborns having weight less than 2.5 kg,TOTAL,1746,1548,198,NA,1746,57,57,NA,NA,57,28,28,NA,NA,28,13,13,NA,NA,13,115,115,NA,NA,115,1220,1022,198,NA,1220,78,78,NA,NA,78,66,66,NA,NA,66,161,161,NA,NA,161,8,8,NA,NA,8
M4 [Pregnancy outcome & details of new-born],4.4.3,Number of Newborns breast fed within 1 hour of birth ,TOTAL,8786,6757,2029,NA,8786,438,438,NA,NA,438,195,195,NA,NA,195,101,101,NA,NA,101,530,530,NA,NA,530,5836,3807,2029,NA,5836,555,555,NA,NA,555,484,484,NA,NA,484,541,541,NA,NA,541,106,106,NA,NA,106
M5 [Complicated Pregnancies],5.1,"Number of cases of pregnant women with Obstetric Complications attended (Antepartum haemorrhage (APH), Post-Partum Hemorrhage (PPH), Sepsis, Eclampsia and others)",TOTAL,335,284,51,NA,335,21,21,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,NA,4,303,252,51,NA,303,3,3,NA,NA,3,3,3,NA,NA,3,1,1,NA,NA,1,NA,NA,NA,NA,NA
M5 [Complicated Pregnancies],5.2,Number of Complicated pregnancies treated with Blood Transfusion,TOTAL,209,158,51,NA,209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,209,158,51,NA,209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M6 [Post Natal Care (PNC)],6.1,Women receiving 1st post partum checkup within 48 hours of home delivery,TOTAL,241,241,NA,NA,241,13,13,NA,NA,13,23,23,NA,NA,23,13,13,NA,NA,13,7,7,NA,NA,7,NA,NA,NA,NA,NA,44,44,NA,NA,44,122,122,NA,NA,122,15,15,NA,NA,15,4,4,NA,NA,4
M6 [Post Natal Care (PNC)],6.2,Women receiving 1st post partum checkup between 48 hours and 14 days,TOTAL,7500,7500,NA,NA,7500,931,931,NA,NA,931,808,808,NA,NA,808,1377,1377,NA,NA,1377,973,973,NA,NA,973,413,413,NA,NA,413,807,807,NA,NA,807,804,804,NA,NA,804,517,517,NA,NA,517,870,870,NA,NA,870
M6 [Post Natal Care (PNC)],6.3,Number of mothers provided full course of 180 IFA tablets after delivery,TOTAL,3914,3914,NA,NA,3914,790,790,NA,NA,790,409,409,NA,NA,409,322,322,NA,NA,322,131,131,NA,NA,131,250,250,NA,NA,250,370,370,NA,NA,370,722,722,NA,NA,722,223,223,NA,NA,223,697,697,NA,NA,697
M6 [Post Natal Care (PNC)],6.4,Number of mothers provided 360 Calcium tablets after delivery,TOTAL,1610,1610,NA,NA,1610,282,282,NA,NA,282,59,59,NA,NA,59,113,113,NA,NA,113,NA,NA,NA,NA,NA,169,169,NA,NA,169,46,46,NA,NA,46,363,363,NA,NA,363,166,166,NA,NA,166,412,412,NA,NA,412
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],7.1.1,New RTI/STI cases identified - Male,TOTAL,770,770,NA,NA,770,0,0,NA,NA,0,8,8,NA,NA,8,17,17,NA,NA,17,1,1,NA,NA,1,609,609,NA,NA,609,98,98,NA,NA,98,NA,NA,NA,NA,NA,12,12,NA,NA,12,25,25,NA,NA,25
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],7.1.2,New RTI/STI cases identified - Female,TOTAL,562,562,NA,NA,562,0,0,NA,NA,0,10,10,NA,NA,10,34,34,NA,NA,34,1,1,NA,NA,1,316,316,NA,NA,316,146,146,NA,NA,146,NA,NA,NA,NA,NA,9,9,NA,NA,9,46,46,NA,NA,46
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],7.2.1,RTI/STI for which treatment initiated - Male,TOTAL,738,738,NA,NA,738,0,0,NA,NA,0,2,2,NA,NA,2,3,3,NA,NA,3,1,1,NA,NA,1,609,609,NA,NA,609,98,98,NA,NA,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,25,NA,NA,25
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],7.2.2,RTI/STI for which treatment initiated -Female,TOTAL,520,520,NA,NA,520,0,0,NA,NA,0,4,4,NA,NA,4,7,7,NA,NA,7,1,1,NA,NA,1,316,316,NA,NA,316,146,146,NA,NA,146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,46,NA,NA,46
M8 [Family Planning],8.1.1,Number of Non Scalpel Vasectomy (NSV) / Conventional Vasectomy conducted,TOTAL,0,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M8 [Family Planning],8.2.1,Number of Laparoscopic sterilizations (excluding post abortion) conducted,TOTAL,265,114,151,NA,265,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,239,88,151,NA,239,26,26,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M8 [Family Planning],8.2.2,Number of Interval Mini-lap (other than post-partum and post abortion) sterilizations conducted,TOTAL,57,57,NA,NA,57,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,22,NA,NA,22,15,15,NA,NA,15,8,8,NA,NA,8,12,12,NA,NA,12,NA,NA,NA,NA,NA
