Indicator,S.No.,Parameters,Type,SubDistrict - _Anugul - Total [(A+B) or (C+D)],SubDistrict - _Anugul - Public [A],SubDistrict - _Anugul - Private [B],SubDistrict - _Anugul - Urban [C],SubDistrict - _Anugul - Rural [D],SubDistrict - Angul - Total [(A+B) or (C+D)],SubDistrict - Angul - Public [A],SubDistrict - Angul - Private [B],SubDistrict - Angul - Urban [C],SubDistrict - Angul - Rural [D],SubDistrict - Athamallik - Total [(A+B) or (C+D)],SubDistrict - Athamallik - Public [A],SubDistrict - Athamallik - Private [B],SubDistrict - Athamallik - Urban [C],SubDistrict - Athamallik - Rural [D],SubDistrict - Banarapal - Total [(A+B) or (C+D)],SubDistrict - Banarapal - Public [A],SubDistrict - Banarapal - Private [B],SubDistrict - Banarapal - Urban [C],SubDistrict - Banarapal - Rural [D],SubDistrict - Chhendipada - Total [(A+B) or (C+D)],SubDistrict - Chhendipada - Public [A],SubDistrict - Chhendipada - Private [B],SubDistrict - Chhendipada - Urban [C],SubDistrict - Chhendipada - Rural [D],SubDistrict - Dist Level Facility - Total [(A+B) or (C+D)],SubDistrict - Dist Level Facility - Public [A],SubDistrict - Dist Level Facility - Private [B],SubDistrict - Dist Level Facility - Urban [C],SubDistrict - Dist Level Facility - Rural [D],SubDistrict - Kaniha - Total [(A+B) or (C+D)],SubDistrict - Kaniha - Public [A],SubDistrict - Kaniha - Private [B],SubDistrict - Kaniha - Urban [C],SubDistrict - Kaniha - Rural [D],SubDistrict - Pallahara - Total [(A+B) or (C+D)],SubDistrict - Pallahara - Public [A],SubDistrict - Pallahara - Private [B],SubDistrict - Pallahara - Urban [C],SubDistrict - Pallahara - Rural [D],SubDistrict - Rajkishore Nagar - Total [(A+B) or (C+D)],SubDistrict - Rajkishore Nagar - Public [A],SubDistrict - Rajkishore Nagar - Private [B],SubDistrict - Rajkishore Nagar - Urban [C],SubDistrict - Rajkishore Nagar - Rural [D],SubDistrict - Talcher - Total [(A+B) or (C+D)],SubDistrict - Talcher - Public [A],SubDistrict - Talcher - Private [B],SubDistrict - Talcher - Urban [C],SubDistrict - Talcher - Rural [D]
M14 [Patient Services],14.12.1,Special Newborn Care Unit (SNCU Admissions) - Inborn Male,TOTAL,198,198,NA,NA,198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,198,198,NA,NA,198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M14 [Patient Services],14.12.2,Special Newborn Care Unit (SNCU Admissions) - Inborn Female,TOTAL,137,137,NA,NA,137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,137,137,NA,NA,137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M14 [Patient Services],14.12.3,Outborn – Male,TOTAL,249,249,NA,NA,249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,249,249,NA,NA,249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M14 [Patient Services],14.12.4,Outborn - Female,TOTAL,201,201,NA,NA,201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201,201,NA,NA,201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M14 [Patient Services],14.12.5,Number of newborns admitted in SNCU - referred by ASHA,TOTAL,91,91,NA,NA,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,91,NA,NA,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M14 [Patient Services],14.13,Number of deaths occurring at SNCU,TOTAL,97,97,NA,NA,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,97,NA,NA,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M14 [Patient Services],14.14.1,Number of children admitted in NRC,TOTAL,128,128,NA,NA,128,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,82,NA,NA,82,NA,NA,NA,NA,NA,46,46,NA,NA,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M14 [Patient Services],14.14.2,Number of children discharged with target weight gain from the NRCs,TOTAL,110,110,NA,NA,110,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,79,NA,NA,79,NA,NA,NA,NA,NA,31,31,NA,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M14 [Patient Services],14.15,Number of Rogi Kalyan Samiti (RKS) meetings held,TOTAL,55,55,NA,NA,55,14,14,NA,NA,14,9,9,NA,NA,9,8,8,NA,NA,8,4,4,NA,NA,4,4,4,NA,NA,4,5,5,NA,NA,5,3,3,NA,NA,3,2,2,NA,NA,2,6,6,NA,NA,6
M14 [Patient Services],14.16,Number of Anganwadi centres/ UPHCs reported to have conducted Village Health & Nutrition Day (VHNDs)/ Urban Health & Nutrition Day (UHNDs)/ Outreach / Special Outreach,TOTAL,6747,6747,NA,NA,6747,955,955,NA,NA,955,872,872,NA,NA,872,1094,1094,NA,NA,1094,991,991,NA,NA,991,NA,NA,NA,NA,NA,753,753,NA,NA,753,750,750,NA,NA,750,550,550,NA,NA,550,782,782,NA,NA,782
M14 [Patient Services],14.17,Stock out rate of essential Drugs,TOTAL,183,183,NA,NA,183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183,183,NA,NA,183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M14 [Patient Services],14.18,Blood Units Issued on replacement (Family Donors to be considered as replacement donations),TOTAL,850,850,NA,NA,850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,850,850,NA,NA,850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M14 [Patient Services],14.19,Total number of blood units issued in year,TOTAL,5342,5342,NA,NA,5342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5342,5342,NA,NA,5342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M14 [Patient Services],14.2,Patient Satisfaction Score of the facility in percentage (from Mera Aspatal),TOTAL,67,67,NA,NA,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,67,NA,NA,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M15 [Laboratory Testing],15.1,Number of Lab Tests done,TOTAL,156462,156462,NA,NA,156462,4311,4311,NA,NA,4311,2025,2025,NA,NA,2025,1184,1184,NA,NA,1184,16091,16091,NA,NA,16091,114216,114216,NA,NA,114216,3157,3157,NA,NA,3157,5928,5928,NA,NA,5928,5397,5397,NA,NA,5397,4153,4153,NA,NA,4153
M15 [Laboratory Testing],15.2.1,Number of Hb tests conducted,TOTAL,54033,54033,NA,NA,54033,3595,3595,NA,NA,3595,3686,3686,NA,NA,3686,3231,3231,NA,NA,3231,6681,6681,NA,NA,6681,21102,21102,NA,NA,21102,2825,2825,NA,NA,2825,5066,5066,NA,NA,5066,2938,2938,NA,NA,2938,4909,4909,NA,NA,4909
M15 [Laboratory Testing],15.2.2,"Out of the total number of Hb tests done, Number having Hb < 7 mg",TOTAL,3035,3035,NA,NA,3035,6,6,NA,NA,6,20,20,NA,NA,20,3,3,NA,NA,3,25,25,NA,NA,25,2889,2889,NA,NA,2889,22,22,NA,NA,22,23,23,NA,NA,23,14,14,NA,NA,14,33,33,NA,NA,33
M15 [Laboratory Testing],15.3.1.a,Male HIV - Number Tested,TOTAL,7950,7950,NA,NA,7950,10,10,NA,NA,10,NA,NA,NA,NA,NA,6,6,NA,NA,6,542,542,NA,NA,542,6026,6026,NA,NA,6026,409,409,NA,NA,409,NA,NA,NA,NA,NA,700,700,NA,NA,700,257,257,NA,NA,257
M15 [Laboratory Testing],15.3.1.b,Male HIV - Number Positive,TOTAL,35,35,NA,NA,35,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,34,34,NA,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M15 [Laboratory Testing],15.3.2.a,Female Non ANC HIV - Number Tested,TOTAL,1687,1687,NA,NA,1687,4,4,NA,NA,4,NA,NA,NA,NA,NA,132,132,NA,NA,132,11,11,NA,NA,11,1291,1291,NA,NA,1291,40,40,NA,NA,40,NA,NA,NA,NA,NA,177,177,NA,NA,177,32,32,NA,NA,32
M15 [Laboratory Testing],15.3.2.b,Female Non ANC HIV - Number Positive,TOTAL,18,18,NA,NA,18,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,18,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M15 [Laboratory Testing],15.3.3.a,Number of pregnant women screened for HIV,TOTAL,8097,8097,NA,NA,8097,773,773,NA,NA,773,92,92,NA,NA,92,126,126,NA,NA,126,1603,1603,NA,NA,1603,4465,4465,NA,NA,4465,437,437,NA,NA,437,NA,NA,NA,NA,NA,502,502,NA,NA,502,99,99,NA,NA,99
M15 [Laboratory Testing],15.3.3.b,"Out of the above, number screened positive",TOTAL,11,11,NA,NA,11,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,2,2,NA,NA,2,8,8,NA,NA,8,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M15 [Laboratory Testing],15.3.3.c,"Out of the above number screened positive, number confirmed with HIV infection at Integrated Counselling and Testing Centre (ICTC)",TOTAL,2,2,NA,NA,2,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M15 [Laboratory Testing],15.3.4.a,Number of Male STI/RTI attendees tested for syphilis,TOTAL,1544,1544,NA,NA,1544,2,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1426,1426,NA,NA,1426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116,116,NA,NA,116
M15 [Laboratory Testing],15.3.4.b,Number of Male STI/RTI attendees found sero Positive for syphilis,TOTAL,4,4,NA,NA,4,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M15 [Laboratory Testing],15.3.4.c,Number of Female (Non ANC)STI/RTI attendees tested for syphilis,TOTAL,436,436,NA,NA,436,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,436,436,NA,NA,436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M15 [Laboratory Testing],15.3.4.d,Number of Female (Non ANC) STI/RTI attendees found sero Positive for syphilis,TOTAL,0,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M15 [Laboratory Testing],15.4.1,Widal tests - Number Tested,TOTAL,6701,6701,NA,NA,6701,95,95,NA,NA,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1365,1365,NA,NA,1365,3571,3571,NA,NA,3571,20,20,NA,NA,20,348,348,NA,NA,348,NA,NA,NA,NA,NA,1302,1302,NA,NA,1302
M15 [Laboratory Testing],15.4.2,Widal tests - Number Positive,TOTAL,1450,1450,NA,NA,1450,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110,110,NA,NA,110,879,879,NA,NA,879,5,5,NA,NA,5,77,77,NA,NA,77,NA,NA,NA,NA,NA,379,379,NA,NA,379
M15 [Laboratory Testing],15.5.1,Radiology - X-ray,TOTAL,6231,6231,NA,NA,6231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6231,6231,NA,NA,6231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M15 [Laboratory Testing],15.5.2,Radiology - Ultrasonography (USG),TOTAL,153,153,NA,NA,153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,153,NA,NA,153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M16 [Details of deaths reported with probable causes:],16.1,Infant deaths within 24 hrs(1 to 23 Hrs) of birth,TOTAL,35,35,NA,NA,35,9,9,NA,NA,9,1,1,NA,NA,1,3,3,NA,NA,3,4,4,NA,NA,4,1,1,NA,NA,1,6,6,NA,NA,6,5,5,NA,NA,5,2,2,NA,NA,2,4,4,NA,NA,4
M16 [Details of deaths reported with probable causes:],16.2.1,Infant Deaths up to 4 weeks due to Sepsis,TOTAL,12,12,NA,NA,12,0,0,NA,NA,0,NA,NA,NA,NA,NA,3,3,NA,NA,3,1,1,NA,NA,1,8,8,NA,NA,8,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M16 [Details of deaths reported with probable causes:],16.2.2,Infant Deaths up to 4 weeks due to Asphyxia,TOTAL,45,45,NA,NA,45,1,1,NA,NA,1,1,1,NA,NA,1,2,2,NA,NA,2,2,2,NA,NA,2,37,37,NA,NA,37,0,0,NA,NA,0,NA,NA,NA,NA,NA,1,1,NA,NA,1,1,1,NA,NA,1
M16 [Details of deaths reported with probable causes:],16.2.3,Infant Deaths up to 4 weeks due to Other causes,TOTAL,105,105,NA,NA,105,13,13,NA,NA,13,6,6,NA,NA,6,6,6,NA,NA,6,10,10,NA,NA,10,38,38,NA,NA,38,6,6,NA,NA,6,10,10,NA,NA,10,13,13,NA,NA,13,3,3,NA,NA,3
M16 [Details of deaths reported with probable causes:],16.3.1,Number of Infant Deaths (1 -12 months) due to Pneumonia,TOTAL,10,10,NA,NA,10,0,0,NA,NA,0,1,1,NA,NA,1,0,0,NA,NA,0,2,2,NA,NA,2,4,4,NA,NA,4,0,0,NA,NA,0,1,1,NA,NA,1,2,2,NA,NA,2,NA,NA,NA,NA,NA
M16 [Details of deaths reported with probable causes:],16.3.2,Number of Infant Deaths (1 -12 months) due to Diarrhoea,TOTAL,0,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M16 [Details of deaths reported with probable causes:],16.3.3,Number of Infant Deaths (1 -12 months) due to Fever related,TOTAL,2,2,NA,NA,2,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,1,1,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M16 [Details of deaths reported with probable causes:],16.3.4,Number of Infant Deaths (1 -12 months) due to Measles,TOTAL,0,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M16 [Details of deaths reported with probable causes:],16.3.5,Number of Infant Deaths (1 -12 months) due to Others,TOTAL,41,41,NA,NA,41,2,2,NA,NA,2,6,6,NA,NA,6,6,6,NA,NA,6,6,6,NA,NA,6,6,6,NA,NA,6,7,7,NA,NA,7,5,5,NA,NA,5,1,1,NA,NA,1,2,2,NA,NA,2
M16 [Details of deaths reported with probable causes:],16.4.1,Number of Child Deaths (1 -5 years) due to Pneumonia,TOTAL,0,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M16 [Details of deaths reported with probable causes:],16.4.2,Number of Child Deaths (1 -5 years) due to Diarrhoea,TOTAL,0,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M16 [Details of deaths reported with probable causes:],16.4.3,Number of Child Deaths (1 -5 years) due to Fever related,TOTAL,1,1,NA,NA,1,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,1,1,NA,NA,1,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M16 [Details of deaths reported with probable causes:],16.4.4,Number of Child Deaths (1 -5 years) due to Measles,TOTAL,0,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M16 [Details of deaths reported with probable causes:],16.4.5,Number of Child Deaths (1 -5 years) due to Others,TOTAL,31,31,NA,NA,31,3,3,NA,NA,3,2,2,NA,NA,2,3,3,NA,NA,3,5,5,NA,NA,5,4,4,NA,NA,4,2,2,NA,NA,2,6,6,NA,NA,6,3,3,NA,NA,3,3,3,NA,NA,3
M16 [Details of deaths reported with probable causes:],16.5.1,Number of Maternal Deaths due to Bleeding,TOTAL,3,3,NA,NA,3,1,1,NA,NA,1,NA,NA,NA,NA,NA,2,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M16 [Details of deaths reported with probable causes:],16.5.2,Number of Maternal Deaths due to High fever,TOTAL,0,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M16 [Details of deaths reported with probable causes:],16.5.3,Number of Maternal Deaths due to Abortion,TOTAL,0,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M16 [Details of deaths reported with probable causes:],16.5.4,Number of Maternal Deaths due to Obstructed/prolonged labour,TOTAL,1,1,NA,NA,1,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,1,1,NA,NA,1,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M16 [Details of deaths reported with probable causes:],16.5.5,Number of Maternal Deaths due to Severe hypertesnion/fits,TOTAL,0,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M16 [Details of deaths reported with probable causes:],16.5.6,Number of Maternal Deaths due to Other Causes (including causes not known),TOTAL,10,10,NA,NA,10,3,3,NA,NA,3,3,3,NA,NA,3,1,1,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,0,0,NA,NA,0,1,1,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,1
M16 [Details of deaths reported with probable causes:],16.6,Total Facility Based Maternal Death Reviews (FBMDR) done,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M16 [Details of deaths reported with probable causes:],16.7.1,Number of Adolscent / Adult deaths due to Diarrhoeal diseases,TOTAL,2,2,NA,NA,2,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,2,2,NA,NA,2,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M16 [Details of deaths reported with probable causes:],16.7.2,Number of Adolscent / Adult deaths due to Tuberculosis,TOTAL,35,35,NA,NA,35,2,2,NA,NA,2,1,1,NA,NA,1,3,3,NA,NA,3,1,1,NA,NA,1,20,20,NA,NA,20,0,0,NA,NA,0,6,6,NA,NA,6,1,1,NA,NA,1,1,1,NA,NA,1
M16 [Details of deaths reported with probable causes:],16.7.3,Number of Adolscent / Adult deaths due to Respiratory diseases including infections (other than TB),TOTAL,36,36,NA,NA,36,10,10,NA,NA,10,1,1,NA,NA,1,1,1,NA,NA,1,1,1,NA,NA,1,17,17,NA,NA,17,0,0,NA,NA,0,4,4,NA,NA,4,NA,NA,NA,NA,NA,2,2,NA,NA,2
M16 [Details of deaths reported with probable causes:],16.7.4,Number of Adolscent / Adult deaths due to Other Fever Related,TOTAL,19,19,NA,NA,19,0,0,NA,NA,0,3,3,NA,NA,3,1,1,NA,NA,1,NA,NA,NA,NA,NA,12,12,NA,NA,12,0,0,NA,NA,0,1,1,NA,NA,1,NA,NA,NA,NA,NA,2,2,NA,NA,2
M16 [Details of deaths reported with probable causes:],16.7.5,Number of Adolscent / Adult deaths due to HIV/AIDS,TOTAL,6,6,NA,NA,6,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,3,3,NA,NA,3,0,0,NA,NA,0,2,2,NA,NA,2,NA,NA,NA,NA,NA,1,1,NA,NA,1
M16 [Details of deaths reported with probable causes:],16.7.6,Number of Adolscent / Adult deaths due to Heart disease/Hypertension related,TOTAL,203,203,NA,NA,203,20,20,NA,NA,20,20,20,NA,NA,20,23,23,NA,NA,23,18,18,NA,NA,18,54,54,NA,NA,54,13,13,NA,NA,13,27,27,NA,NA,27,20,20,NA,NA,20,8,8,NA,NA,8
M16 [Details of deaths reported with probable causes:],16.7.7,Number of Adolscent / Adult deaths due to Cancer,TOTAL,63,63,NA,NA,63,8,8,NA,NA,8,3,3,NA,NA,3,11,11,NA,NA,11,11,11,NA,NA,11,4,4,NA,NA,4,5,5,NA,NA,5,3,3,NA,NA,3,10,10,NA,NA,10,8,8,NA,NA,8
M16 [Details of deaths reported with probable causes:],16.7.8,Number of Adolscent / Adult deaths due to Neurological disease including strokes,TOTAL,60,60,NA,NA,60,5,5,NA,NA,5,27,27,NA,NA,27,7,7,NA,NA,7,3,3,NA,NA,3,1,1,NA,NA,1,6,6,NA,NA,6,5,5,NA,NA,5,1,1,NA,NA,1,5,5,NA,NA,5
M16 [Details of deaths reported with probable causes:],16.7.9,Number of Adolscent / Adult deaths due to Accidents/Burn cases,TOTAL,81,81,NA,NA,81,4,4,NA,NA,4,8,8,NA,NA,8,8,8,NA,NA,8,10,10,NA,NA,10,13,13,NA,NA,13,12,12,NA,NA,12,12,12,NA,NA,12,7,7,NA,NA,7,7,7,NA,NA,7
M16 [Details of deaths reported with probable causes:],16.7.10,Number of Adolscent / Adult deaths due to Suicide,TOTAL,20,20,NA,NA,20,3,3,NA,NA,3,3,3,NA,NA,3,0,0,NA,NA,0,2,2,NA,NA,2,4,4,NA,NA,4,2,2,NA,NA,2,2,2,NA,NA,2,3,3,NA,NA,3,1,1,NA,NA,1
M16 [Details of deaths reported with probable causes:],16.7.11,Number of Adolscent / Adult deaths due to Animal bites and stings,TOTAL,23,23,NA,NA,23,1,1,NA,NA,1,2,2,NA,NA,2,3,3,NA,NA,3,2,2,NA,NA,2,3,3,NA,NA,3,6,6,NA,NA,6,2,2,NA,NA,2,2,2,NA,NA,2,2,2,NA,NA,2
M16 [Details of deaths reported with probable causes:],16.7.12,Number of Adolscent / Adult deaths due to Known Acute Disease,TOTAL,112,112,NA,NA,112,38,38,NA,NA,38,4,4,NA,NA,4,10,10,NA,NA,10,27,27,NA,NA,27,7,7,NA,NA,7,8,8,NA,NA,8,9,9,NA,NA,9,6,6,NA,NA,6,3,3,NA,NA,3
M16 [Details of deaths reported with probable causes:],16.7.13,Number of Adolscent / Adult deaths due to Known Chronic Disease,TOTAL,395,395,NA,NA,395,36,36,NA,NA,36,39,39,NA,NA,39,79,79,NA,NA,79,42,42,NA,NA,42,10,10,NA,NA,10,44,44,NA,NA,44,27,27,NA,NA,27,110,110,NA,NA,110,8,8,NA,NA,8
M16 [Details of deaths reported with probable causes:],16.7.14,Number of Adolscent / Adult deaths due to Causes not known,TOTAL,1769,1769,NA,NA,1769,274,274,NA,NA,274,140,140,NA,NA,140,246,246,NA,NA,246,342,342,NA,NA,342,16,16,NA,NA,16,217,217,NA,NA,217,241,241,NA,NA,241,122,122,NA,NA,122,171,171,NA,NA,171
M16 [Details of deaths reported with probable causes:],16.8.1,Number of Deaths due to Malaria- Plasmodium Vivax,TOTAL,0,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M16 [Details of deaths reported with probable causes:],16.8.2,Number of Deaths due to Malaria- Plasmodium Falciparum,TOTAL,0,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M16 [Details of deaths reported with probable causes:],16.8.3,Number of Deaths due to Kala Azar,TOTAL,0,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M16 [Details of deaths reported with probable causes:],16.8.4,Number of Deaths due to Dengue,TOTAL,0,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M16 [Details of deaths reported with probable causes:],16.8.5,Number of Deaths due to Acute Encephelitis Syndrome (AES),TOTAL,0,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M16 [Details of deaths reported with probable causes:],16.8.6,Number of Deaths due to Japanese Encephalitis (JE),TOTAL,0,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
